"age","gender","chatgpt","characterAI","replika","aidungeon","novelai","kobold","laws_of_robotics","paperclip_maximizer","machine_learning","poi","turing_test","agi","c_turing_test","pronouns","please","friendship","love"
18,"Female",1,0,0,0,0,0,0,0,1,0,0,0,"i dont know the Turing Test","It",3,5,5
18,"male",1,1,0,0,0,0,1,0,1,0,0,1,"i dont know the Turing Test","It",4,5,5
18,"male",1,0,1,1,0,0,0,0,1,0,0,1,"Yes","She/Her",3,5,5
39,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","She/Her",5,5,5
20,"male",1,0,0,0,0,0,0,0,1,0,0,0,"i dont know the Turing Test","It",2,5,5
53,"male",1,0,0,0,0,0,0,1,1,0,1,1,"No","It",5,3,3
35,"male",1,0,0,1,1,0,1,0,1,0,1,1,"No","It",5,4,3
18,"male",1,1,0,0,0,0,0,0,1,0,0,0,"Yes","It",1,4,3
37,"Female",1,0,0,0,0,0,1,0,1,0,1,1,"Yes","It",3,5,5
16,"male",1,0,0,0,0,0,0,1,1,0,1,1,"Yes","It",5,5,5
32,"male",1,0,0,0,0,0,1,1,1,0,1,0,"No","It",4,5,5
17,"non binary",1,1,0,0,0,0,0,0,1,1,1,1,"Yes","She/Her",4,4,2
21,"Female",1,1,0,1,0,0,1,0,1,0,1,1,"Yes","They/Them",4,3,4
20,"male",1,0,0,0,0,0,1,0,1,0,1,0,"Yes","He/Him",5,3,2
28,"male",0,1,1,0,0,0,0,0,0,0,0,1,"Yes","It",3,5,4
47,"male",1,0,0,0,0,0,1,0,1,0,1,1,"Yes","He/Him",3,5,5
41,"male",1,0,0,0,0,0,0,0,0,0,0,1,"i dont know the Turing Test","It",2,4,4
28,"male",1,0,0,0,0,0,1,0,1,1,1,0,"No","He/Him",3,4,4
43,"male",1,0,0,0,0,0,1,0,1,0,1,1,"Yes","They/Them",4,5,5
29,"male",1,0,0,0,0,0,1,0,1,0,1,1,"No","She/Her",1,4,4
47,"male",1,0,1,0,0,0,1,0,1,0,1,1,"Yes","She/Her",5,5,5
19,"male",1,1,1,0,0,0,0,0,1,1,1,1,"Yes","It",4,3,2
25,"male",1,0,0,0,0,0,1,1,1,0,1,1,"Yes","It",5,5,4
